AN_LETIVO,CD_ALUNO_SME,DESC_RACA_COR,CD_SEXO,TIPO_ESCOLA,DRE,NOME_DISTRITO,TURMA_ESCOL,MODALIDADE_SEGMENTO,DESC_SERIE,DESC_PAIS_NASC
2016,6164107,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,CIDADE LIDER,S,PRE,INFANTIL I,BOLIVIA
2016,4609993,AMARELA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,Fund2,C.III 9.ANO F9,BOLIVIA
2016,6080177,NAO DECLARADA,M,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO,CIDADE DUTRA,S,CRECHE,MINI GRUPO II,REPUBLICA DO HAITI
2016,4907542,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,TATUAPE,S,Fund2,C.II 6.ANO F9,BOLIVIA
2016,4518260,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,SAO RAFAEL,S,Fund2,C.III 7.ANO F9,BOLIVIA
2016,6005925,AMARELA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,ARTUR ALVIM,S,Fund1,C.I 2.ANO F9,BOLIVIA
2016,6130330,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,VILA MATILDE,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,6049420,NAO DECLARADA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PONTE RASA,S,Fund1,C.I 2.ANO F9,BOLIVIA
2016,5292851,BRANCA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO,CAPAO REDONDO,S,Fund2,C.II 6.ANO F9,ESTADOS UNIDOS DA AMERICA (EUA)
2016,6341768,PRETA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,Fund1,C.II 4.ANO F9,REPUBLICA DO HAITI
2016,6341602,PRETA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,Fund1,C.II 4.ANO F9,REPUBLICA DO HAITI
2016,6509170,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MARIA,S,PRE,INFANTIL II,BOLIVIA
2016,6477431,NAO DECLARADA,F,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,PRE,INFANTIL II,PARAGUAI
2016,6215239,NAO DECLARADA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,Fund1,C.I 1.ANO F9,BOLIVIA
2016,4868461,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,4624872,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,6309783,PARDA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6555410,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,CRECHE,BERCARIO II,ANGOLA
2016,6314088,NAO DECLARADA,M,CIEJA       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,EJA1A4,MII CIEJA,REPUBLICA DO HAITI
2016,6557926,PARDA,M,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,RAPOSO TAVARES,S,Fund2,C.III 7.ANO F9,BOLIVIA
2016,4222746,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund2,C.II 6.ANO F9,BOLIVIA
2016,4546060,BRANCA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund2,C.II 6.ANO F9,BOLIVIA
2016,6053854,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund2,C.III 7.ANO F9,BOLIVIA
2016,6545755,NAO DECLARADA,M,MOVA        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,ARTUR ALVIM,S,MOVA,MOVA,ANGOLA
2016,6136075,NAO DECLARADA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MARIA,S,Fund2,C.III 7.ANO F9,BOLIVIA
2016,6499283,BRANCA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL I,BOLIVIA
2016,6459037,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO GUAIANASES,LAJEADO,S,CRECHE,MINI GRUPO II,REPUBLICA DO HAITI
2016,6593887,PRETA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,Fund1,C.I 1.ANO F9,ANGOLA
2016,5015591,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,Fund1,C.I 2.ANO F9,BOLIVIA
2016,6509170,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MARIA,S,PRE,INFANTIL II,BOLIVIA
2016,6041285,PARDA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL II,BOLIVIA
2016,6129334,INDIGENA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,Fund1,C.I 1.ANO F9,BOLIVIA
2016,4877366,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,Fund1,C.II 5.ANO F9,BOLIVIA
2016,4756977,INDIGENA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,Fund2,C.III 7.ANO F9,BOLIVIA
2016,6077286,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,BELEM,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,5769810,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,Fund1,C.I 1.ANO F9,BOLIVIA
2016,6585420,PRETA,M,EMEFM       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,Fund1,C.I 2.ANO F9,ANGOLA
2016,4806692,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund2,C.III 9.ANO F9,BOLIVIA
2016,6076078,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,5737530,BRANCA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,JACANA,S,Fund1,C.I 1.ANO F9,BOLIVIA
2016,6319790,NAO DECLARADA,F,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,IGUATEMI,S,PRE,INFANTIL I,BOLIVIA
2016,6409339,PARDA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL I,BOLIVIA
2016,4435684,PARDA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,Fund1,C.II 4.ANO F9,BOLIVIA
2016,3642132,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CACHOEIRINHA,S,Fund2,C.III 9.ANO F9,BOLIVIA
2016,6298920,NAO DECLARADA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BOM RETIRO,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,5946263,PRETA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,SAPOPEMBA,S,Fund2,C.II 6.ANO F9,CONGO
2016,6359684,PRETA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BELA VISTA,S,PRE,INFANTIL II,ANGOLA
2016,6101697,NAO DECLARADA,F,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,CIDADE LIDER,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,6660754,PARDA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,PRE,INFANTIL I,BOLIVIA
2016,6347802,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,SAPOPEMBA,S,CRECHE,MINI GRUPO II,JAPAO
2016,5266963,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,SANTA CECILIA,S,PRE,INFANTIL II,BOLIVIA
2016,5797965,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,PRE,INFANTIL I,BOLIVIA
2016,6312236,BRANCA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,TATUAPE,S,PRE,INFANTIL II,SIRIA
2016,5849137,BRANCA,F,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO,CIDADE DUTRA,S,Fund1,C.I 2.ANO F9,ESPANHA
2016,4846818,BRANCA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO GUAIANASES,GUAIANASES,S,Fund2,C.II 6.ANO F9,ARGENTINA
2016,6346033,PRETA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,ITAQUERA,S,Fund1,C.II 4.ANO F9,CONGO
2016,6457703,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,CARRAO,S,Fund2,C.III 9.ANO F9,SIRIA
2016,6632178,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,JAGUARE,S,Fund1,C.II 4.ANO F9,ARGENTINA
2016,6302601,AMARELA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,AGUA RASA,S,Fund2,C.II 6.ANO F9,JAPAO
2016,6632845,PRETA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,SAPOPEMBA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6391858,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,TATUAPE,S,EJA5A8,EJA FINAL I,COLOMBIA
2016,6103363,NAO DECLARADA,M,EMEFM       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,EDPROF,MI - ED PROF,BOLIVIA
2016,6701770,NAO DECLARADA,M,CIEJA       ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,PERUS,S,EJA5A8,MIII CIEJA,REPUBLICA DO HAITI
2016,6731863,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,VILA SONIA,S,CRECHE,MINI GRUPO II,COLOMBIA
2016,6154535,BRANCA,M,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,CIDADE LIDER,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,6617694,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,VILA PRUDENTE,S,Fund1,C.I 3.ANO F9,BOLIVIA
2016,6520823,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,ERMELINO MATARAZZO,S,CRECHE,BERCARIO I,BOLIVIA
2016,5001084,PARDA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,Fund2,C.II 6.ANO F9,BOLIVIA
2016,6533744,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,CRECHE,MINI GRUPO II,REPUBLICA DO HAITI
2016,6561155,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6606167,PRETA,F,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,PROJ,PROJOVEM,ANGOLA
2016,6606167,PRETA,F,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,PROJ,PROJOVEM,ANGOLA
2016,6540445,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,CRECHE,MINI GRUPO II,CONGO
2016,6561653,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6561736,PARDA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,CRECHE,BERCARIO II,BOLIVIA
2016,6695049,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,5714805,INDIGENA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,ERMELINO MATARAZZO,S,Fund1,C.I 1.ANO F9,PERU
2016,6205209,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,TREMEMBE,S,PRE,INFANTIL II,BOLIVIA
2016,4277167,BRANCA,M,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,RAPOSO TAVARES,S,Fund2,C.II 6.ANO F9,BOLIVIA
2016,6469442,BRANCA,M,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BOM RETIRO,S,CRECHE,MINI GRUPO I,PARAGUAI
2016,6391858,NAO DECLARADA,F,EMEF        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,TATUAPE,S,EJA5A8,EJA FINAL I,COLOMBIA
2016,5958520,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO,VILA ANDRADE,S,PRE,INFANTIL I,PERU
2016,5734596,PARDA,M,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,ITAIM PAULISTA,S,PRE,INFANTIL II,PERU
2016,6103363,NAO DECLARADA,M,EMEFM       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,MEDIO,2A.SER.E.M.,BOLIVIA
2016,6608394,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,IPIRANGA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6301894,PARDA,M,CEU EMEF    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,EJA5A8,EJA MIII,ARGENTINA
2016,6555453,PRETA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BELA VISTA,S,CRECHE,MINI GRUPO I,REPUBLICA DOMINICANA
2016,6512164,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL,ITAIM PAULISTA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6578573,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,CRECHE,BERCARIO II,REPUBLICA DO HAITI
2016,6296149,PARDA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,SANTA CECILIA,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6120924,NAO DECLARADA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,SANTA CECILIA,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6212597,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BOM RETIRO,S,CRECHE,MINI GRUPO I,SIRIA
2016,6518115,PRETA,M,CIEJA       ,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,BUTANTA,S,EJA5A8,MIII CIEJA,REPUBLICA DO HAITI
2016,6505025,PRETA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,CRECHE,MINI GRUPO I,ANGOLA
2016,5988527,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,PRE,INFANTIL II,BOLIVIA
2016,6296942,PARDA,F,CIEJA       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,EJA5A8,MIV CIEJA,BOLIVIA
2016,6296942,PARDA,F,CIEJA       ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA MEDEIROS,S,EJA5A8,MIV CIEJA,BOLIVIA
2016,6562360,NAO DECLARADA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BELA VISTA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6580777,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BELA VISTA,S,CRECHE,MINI GRUPO II,ANGOLA
2016,6088441,NAO DECLARADA,F,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BOM RETIRO,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,6698876,PARDA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO,CIDADE DUTRA,S,PRE,INFANTIL II,PARAGUAI
2016,6478805,INDIGENA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,LIMAO,S,PRE,INFANTIL I,BOLIVIA
2016,6379853,PARDA,M,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS,SAO MATEUS,S,CRECHE,BERCARIO II,BOLIVIA
2016,6004468,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO GUAIANASES,CIDADE TIRADENTES,S,PRE,INFANTIL I,BOLIVIA
2016,6064883,NAO DECLARADA,M,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,PRE,INFANTIL I,BOLIVIA
2016,5998955,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,LIMAO,S,PRE,INFANTIL I,BOLIVIA
2016,6286205,INDIGENA,M,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA,PIRITUBA,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,5998955,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,LIMAO,S,PRE,INFANTIL I,BOLIVIA
2016,6505025,PRETA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,MOOCA,S,CRECHE,MINI GRUPO I,ANGOLA
2016,6065487,BRANCA,M,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,MOOCA,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6660754,PARDA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,CASA VERDE,S,PRE,INFANTIL II,BOLIVIA
2016,6091395,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,JOSE BONIFACIO,S,PRE,INFANTIL II,ARGENTINA
2016,6632845,PRETA,F,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,CAMBUCI,S,CRECHE,MINI GRUPO II,ANGOLA
2016,5999413,PRETA,M,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,CIDADE LIDER,S,PRE,INFANTIL II,REPUBLICA DO HAITI
2016,6259066,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,BOM RETIRO,S,PRE,INFANTIL II,BOLIVIA
2016,6359684,PRETA,M,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,ITAQUERA,S,PRE,INFANTIL II,ANGOLA
2016,6186188,PRETA,M,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,ITAQUERA,S,PRE,INFANTIL II,CONGO
2016,6414666,NAO DECLARADA,F,CEI DIRET   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,CRECHE,MINI GRUPO I,PERU
2016,6157904,NAO DECLARADA,F,CEU EMEI    ,DIRETORIA REGIONAL DE EDUCACAO PENHA,PENHA,S,PRE,INFANTIL II,BOLIVIA
2016,5936233,BRANCA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,MANDAQUI,S,PRE,INFANTIL I,BOLIVIA
2016,6628162,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,VILA GUILHERME,S,CRECHE,MINI GRUPO I,BOLIVIA
2016,6395937,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO ITAQUERA,ITAQUERA,S,CRECHE,BERCARIO II,CONGO
2016,6208518,NAO DECLARADA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO IPIRANGA,SAO LUCAS,S,PRE,INFANTIL II,ARGENTINA
2016,6578530,NAO DECLARADA,F,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,TUCURUVI,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6487255,INDIGENA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,MOOCA,S,PRE,INFANTIL II,BOLIVIA
2016,6393109,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,BRAS,S,CRECHE,MINI GRUPO II,PARAGUAI
2016,6593097,NAO DECLARADA,M,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,TATUAPE,S,CRECHE,BERCARIO II,ANGOLA
2016,6175594,PARDA,F,CEI INDIR   ,DIRETORIA REGIONAL DE EDUCACAO GUAIANASES,CIDADE TIRADENTES,S,CRECHE,MINI GRUPO II,BOLIVIA
2016,6286371,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,BRAS,S,CRECHE,MINI GRUPO II,REPUBLICA DO HAITI
2016,5963681,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,PRE,INFANTIL I,BOLIVIA
2016,5963681,NAO DECLARADA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE,SANTANA,S,PRE,INFANTIL I,BOLIVIA
2016,6304018,INDIGENA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,BRASILANDIA,S,PRE,INFANTIL II,BOLIVIA
2016,6304018,INDIGENA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA,BRASILANDIA,S,PRE,INFANTIL II,BOLIVIA
2016,6359395,NAO DECLARADA,M,CR.P.CONV   ,DIRETORIA REGIONAL DE EDUCACAO PENHA,CANGAIBA,S,CRECHE,MINI GRUPO I,PERU
2016,6361974,PARDA,M,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,BELEM,S,PRE,INFANTIL I,BOLIVIA
2016,6405489,BRANCA,F,EMEI        ,DIRETORIA REGIONAL DE EDUCACAO PENHA,ARTUR ALVIM,S,PRE,INFANTIL I,EQUADOR
